before,after
-3.52452,-4.03643
-3.23651,-3.98134
-4.44792,-3.99118
-3.99159,-4.03614
-3.84855,-4.03756
-4.22194,-4.02002
-4.29046,-4.05168
-3.77357,-3.85086
-3.79853,-4.06349
-3.69565,-4.13142
-4.86459,-3.86669
-3.68371,-3.98668
-4.13319,-4.10097
-4.16389,-4.12133
-4.3348,-4.01053
-4.0797,-4.32907
-4.02333,-4.20029
-3.16527,-4.12765
-4.81699,-4.18924
-3.83799,-3.99112
-4.72994,-4.22005
-4.24558,-4.21049
-3.81579,-4.10666
-4.53708,-4.26808
-3.70996,-4.2822
-5.27047,-4.09724
-2.88382,-4.18434
-4.64673,-4.00022
-4.73566,-4.27013
-4.65307,-4.07878
-4.17002,-3.96358
-4.0913,-4.14029
-3.65363,-4.14831
-3.90646,-4.00336
-4.88631,-4.1986
-3.26051,-4.15417
-4.61706,-4.11406
-3.22646,-4.30997
-4.09853,-4.05194
-3.71474,-3.88874
-3.36403,-4.21199
-3.37448,-4.01201
-2.84703,-4.17189
-3.74295,-3.79908
-4.26364,-4.22345
-3.53229,-3.89679
-4.24994,-4.16596
-4.29533,-4.14947
-4.09062,-4.04608
-3.94853,-4.05866
-4.31321,-4.05222
-4.07704,-4.18256
-4.26683,-4.28492
-5.11858,-3.85385
-3.4693,-4.08588
-3.85577,-3.97604
-4.54715,-4.31212
-3.63095,-4.25849
-4.74038,-4.15745
-4.00579,-3.96066
-3.67538,-3.92898
-4.13177,-3.97464
-3.57984,-3.97172
-3.57973,-3.97592
-4.00373,-3.91922
-4.02108,-4.10022
-3.77803,-4.29716
-4.31278,-4.00339
-4.7581,-4.31886
-3.18797,-3.93309
-4.75133,-4.13713
-4.61565,-4.18083
-4.29806,-4.00525
-3.65204,-4.1022
-4.06712,-4.17323
-4.29319,-4.25287
-3.71771,-3.98422
-3.23461,-4.03163
-4.37202,-4.18812
-4.79578,-4.13546
-2.73425,-3.84788
-4.03419,-3.88894
-4.01591,-3.96023
-3.69483,-4.05589
-3.96977,-3.95316
-4.03489,-4.0079
-3.46326,-4.1019
-3.80005,-4.00029
-4.62845,-3.80797
-4.24241,-3.76252
-4.23687,-4.26527
-3.98471,-4.19397
-3.47385,-3.96285
-4.20038,-4.08963
-4.60413,-4.27222
-4.44783,-4.04022
-2.83259,-4.03455
-3.72894,-3.97187
-3.9285,-4.20854
-3.50546,-4.01317
-3.80516,-4.15148
-3.79328,-4.12447
-4.53831,-4.17884
-4.28538,-3.95852
-3.89749,-4.15892
-3.4549,-3.88774
-4.15858,-4.24871
-3.57484,-4.06949
-4.51499,-4.15105
-4.03293,-4.18363
-3.78736,-3.86276
-3.00291,-3.7738
-4.81508,-4.00604
-3.61006,-4.16634
-3.05786,-3.96792
-3.58289,-3.88769
-3.94431,-4.04332
-3.84046,-4.09958
-3.91894,-4.2939
-3.56432,-4.06493
-4.8259,-4.21275
-3.66666,-4.11534
-4.58815,-4.04975
-4.26133,-3.97267
-3.78241,-4.14296
-4.13408,-3.97724
-3.4077,-4.00591
-4.56516,-3.8676
-4.70622,-4.1552
-4.42475,-3.88065
-4.15524,-4.12453
-4.2877,-4.29358
-4.70972,-4.08275
-4.02305,-4.28193
-3.95963,-4.19458
-4.83438,-4.123
-4.24628,-3.96874
-3.88337,-4.24807
-4.01051,-3.91356
-4.12427,-3.99876
-5.03,-3.81862
-4.53642,-4.11018
-4.76531,-4.25622
-3.74816,-4.13448
-4.24346,-3.91353
-4.72647,-3.99176
-3.87864,-4.20684
-4.4381,-4.02217
-3.72389,-4.21667
-3.82438,-4.2158
-3.93928,-3.79184
-4.79396,-4.16673
-4.63205,-4.07643
-4.64243,-4.05421
-4.03945,-4.04891
-3.90609,-4.01782
-3.95693,-4.04359
-4.01766,-4.15877
-3.64989,-3.95964
-4.4537,-4.0719
-4.35613,-4.1939
-4.35097,-4.09128
-4.43748,-4.10117
-5.2955,-4.13966
-3.15141,-4.06301
-4.5041,-4.10413
-4.27552,-4.17106
-4.70648,-4.07796
-4.78063,-4.34944
-4.08587,-4.23016
-4.54313,-4.03097
-3.84086,-4.10953
-4.2638,-4.20824
-4.04024,-4.01925
-3.84565,-4.15601
-4.46451,-3.96942
-4.68584,-4.01269
-4.3722,-3.9923
-3.69398,-4.22777
-4.05708,-3.81778
-4.34759,-4.1718
-3.2407,-4.07813
-4.71625,-4.03187
-4.61976,-4.04333
-5.00223,-4.1842
-4.79173,-4.1686
-4.00493,-4.02032
-4.48733,-4.10815
-3.48733,-4.10767
-3.52906,-3.89164
-4.44821,-4.01511
-3.95219,-3.94031
-3.95057,-3.98903
-4.19943,-4.08495
-4.70735,-4.07032
-4.18636,-4.13264
-3.3131,-4.04223
-4.11384,-4.13145
-4.48745,-4.17126
-4.71887,-4.05978
-3.73523,-4.06643
-4.69909,-4.06813
-4.59349,-4.0756
-4.52257,-4.09571
-4.56013,-4.12447
-4.8692,-4.03537
-3.54048,-4.14578
-3.35764,-4.22275
-4.75573,-4.30656
-4.24378,-4.31134
-4.80028,-4.07618
-4.25627,-4.23822
-3.52493,-3.84679
-4.08949,-3.95826
-4.80591,-4.24492
-4.77897,-3.81261
-3.25927,-4.02767
-4.78322,-4.21191
-4.49508,-4.00264
-4.70429,-4.23459
-4.36697,-4.09998
-4.05243,-4.2915
-3.93715,-3.88358
-3.87828,-4.1396
-4.11352,-4.03239
-4.20727,-3.97769
-4.33405,-4.18339
-3.15248,-3.89321
-4.76446,-3.84208
-3.69382,-4.29434
-4.2537,-4.14768
-3.94277,-4.26276
-4.38468,-4.08112
-3.36098,-4.09471
-3.80031,-3.92928
-3.83281,-4.0091
-4.07518,-4.08243
-3.61404,-3.99797
-4.23474,-4.21386
-4.23597,-4.07687
-4.29842,-3.95826
-3.89107,-4.02757
-3.61697,-4.12707
-3.49112,-4.17593
-5.1923,-4.07442
-4.20669,-3.79881
-3.99463,-4.17176
-4.30896,-3.94312
-3.55958,-4.03289
-3.28641,-4.25697
-3.30713,-3.97122
-3.9333,-4.1416
-3.73765,-4.058
-4.08194,-4.16599
-3.86763,-4.14211
-3.2838,-4.19063
-4.10087,-4.04368
-3.61143,-4.05557
-2.75725,-4.00936
-4.7019,-3.92687
-3.97109,-4.30005
-3.73073,-3.89626
-3.49268,-4.15546
-3.57843,-4.20655
-3.28342,-4.05317
-3.74329,-4.18444
-4.27242,-4.17633
-3.89545,-4.0545
-3.94518,-4.16024
-4.18031,-3.94433
-4.08248,-4.14027
-4.68979,-4.48479
-3.48222,-4.23529
-4.9896,-4.07173
-4.21871,-4.19875
-3.29133,-4.22102
-4.12493,-4.29505
-4.63127,-4.2875
-4.31093,-4.07803
-3.83474,-4.12146
-4.63336,-4.01423
-3.61166,-4.03083
-3.25744,-4.20228
-3.39711,-3.87667
-3.92835,-4.18052
-4.35455,-4.22069
-3.83018,-4.19752
-3.24603,-3.83578
-4.08424,-4.11595
-2.92839,-4.16052
-4.52104,-4.21121
-4.67056,-4.03561
-3.74206,-4.03479
-3.45095,-3.93948
-3.71098,-4.22684
-3.4438,-3.82731
-3.86355,-4.04394
-4.18785,-3.99137
-2.98747,-4.04809
-3.95299,-3.87477
-3.9804,-3.97965
-4.28221,-4.15566
-2.99426,-4.09137
-4.10184,-4.04228
-3.75749,-4.4205
-3.56819,-4.20417
-3.44548,-4.32981
-4.28756,-4.32001
-3.92835,-4.18608
-3.87847,-4.07972
-4.00119,-4.0701
-4.68527,-4.21995
-3.03193,-3.88691
-3.97515,-4.15158
-3.99928,-4.09649
-4.03865,-4.14527
-3.54081,-4.00139
-4.14267,-4.23297
-4.79565,-4.12523
-3.29824,-3.95728
-4.48736,-4.27955
-3.60828,-3.95474
-4.15783,-4.09097
-4.685,-4.00065
-3.89853,-3.91936
-2.52013,-3.90634
-3.54782,-4.16544
-3.5036,-3.87455
-3.27704,-4.09849
-3.84085,-4.07496
-3.71398,-4.1031
-3.95629,-4.14094
-4.21173,-3.98666
-4.25448,-4.31583
-3.49725,-3.81455
-4.27603,-3.91068
-3.48314,-4.15382
-4.98061,-4.2884
-4.23868,-4.07897
-4.29031,-4.09628
-3.53801,-3.94805
-3.69251,-4.03563
-4.04556,-3.99603
-4.54435,-3.99243
-4.25211,-4.01921
-3.6632,-3.78529
-4.16594,-4.10887
-4.17149,-4.24047
-4.12783,-4.13884
-3.78472,-4.07339
-3.7142,-4.01579
-4.02545,-3.73194
-4.83852,-4.02844
-3.897,-4.0583
-4.04755,-3.94699
-3.75047,-4.24551
-4.10157,-4.16008
-5.04591,-4.3122
-4.22281,-4.00013
-3.30774,-3.88265
-3.8729,-4.03679
-3.02971,-3.77837
-3.87588,-3.92968
-3.41731,-4.19908
-3.17388,-4.08114
-4.70613,-3.99983
-4.87532,-4.19586
-3.69767,-4.0935
-3.28688,-3.95549
-3.80756,-4.13911
-4.21387,-4.30224
-4.01566,-4.22148
-4.1633,-3.98575
-3.94865,-3.95025
-3.57163,-4.03166
-3.32369,-4.19611
-3.39793,-4.02871
-4.30871,-4.03547
-4.94604,-4.27419
-3.77038,-3.97126
-3.70134,-3.93007
-4.31213,-4.11051
-3.82825,-3.9795
-4.62604,-4.13242
-3.68746,-3.80382
-3.70829,-3.98071
-3.10386,-3.97514
-3.8849,-4.22842
-4.42459,-4.25719
-3.70499,-4.21297
-3.91644,-4.168
-3.75217,-3.91831
-4.67063,-4.04287
-3.78419,-3.89461
-3.92578,-4.07267
-3.46982,-4.08942
-4.37475,-4.05513
-4.46751,-3.95616
-3.64987,-4.18446
-4.28592,-4.10336
-4.42387,-3.90445
-4.79829,-4.01054
-4.39414,-4.08052
-3.94672,-4.04356
-4.21838,-4.04191
-4.06718,-4.24463
-3.61279,-3.94556
-3.20226,-4.24493
-4.71664,-3.75001
-3.50812,-4.07692
-3.03035,-4.27967
-3.88582,-3.9577
-4.50009,-4.25038
-4.04002,-4.17225
-3.54022,-4.16946
-4.02084,-4.11142
-3.43405,-3.87954
-3.60192,-4.17058
-4.57597,-4.07875
-3.4231,-3.90593
-4.18171,-4.12777
-4.64289,-4.17316
-3.98322,-4.0727
-3.15959,-3.94628
-3.49427,-4.0626
-4.49009,-4.15823
-3.67918,-3.83534
-2.97073,-3.92209
-4.70818,-4.12635
-3.2683,-3.98336
-3.7502,-4.19119
-3.60033,-4.01279
-3.56723,-4.18129
-4.35427,-4.0642
-3.57905,-4.05788
-4.00232,-4.04568
-4.47597,-4.10414
-3.99955,-4.08587
-3.86973,-4.02
-3.50248,-3.98629
-3.35292,-4.08847
-4.03996,-4.07457
-4.6364,-4.241
-4.25828,-4.33861
-3.66667,-4.1271
-3.71757,-3.92755
-3.92464,-4.21627
-3.89833,-4.02716
-4.07036,-4.08821
-3.70849,-3.93608
-3.58868,-4.23367
-3.69081,-3.84207
-4.11972,-4.10996
-4.16095,-4.03233
-4.24208,-4.23658
-3.6429,-4.07625
-4.69055,-4.00165
-4.23313,-4.1803
-3.79023,-3.99015
-4.16406,-3.94791
-4.08705,-4.23207
-3.26199,-4.10737
-3.63752,-4.17813
-3.98442,-4.14805
-3.69271,-4.03449
-3.60564,-3.86112
-3.88776,-4.13305
-3.45289,-4.04827
-2.82388,-4.18237
-4.95306,-4.08658
-3.49312,-4.11989
-3.5146,-4.00486
-3.1157,-4.11763
-3.73226,-4.00809
-4.1325,-3.99846
-4.00248,-3.99922
-3.64213,-3.96195
-3.74796,-4.08579
-3.38737,-4.30198
-4.04387,-4.07654
-3.10847,-4.02369
-3.7419,-3.76035
-4.9098,-4.00233
-3.93797,-3.95318
-3.92459,-4.05806
-4.72555,-4.0744
-3.79967,-3.90457
-4.53804,-4.16012
-3.34418,-3.9515
-3.98118,-4.0739
-4.47225,-4.0817
-3.8069,-4.00111
-3.32987,-4.25197
-3.78367,-3.86829
-4.32642,-4.18803
-3.50271,-3.76954
-3.47975,-4.25683
-4.96068,-4.06824
-3.31966,-4.02726
-3.52431,-4.13601
-3.08876,-3.99829
-4.04195,-4.06726
-4.22394,-4.096
-4.02597,-4.26139
-3.81514,-4.05677
-4.17945,-4.17976
-3.96212,-4.14508
-4.10266,-4.00173
-3.71006,-4.24388
-3.51463,-4.00686
-4.75072,-3.98389
-3.22286,-4.07627
-4.03341,-4.01367
-3.42223,-3.82817
-4.11953,-3.94785
-3.22061,-3.98088
-4.04859,-3.98945
-4.30157,-4.01163
-3.92393,-4.1823
-3.745,-3.81407
-3.81833,-3.84367
-3.76914,-3.94803
-3.79499,-3.8679
-4.52233,-4.12327
-4.4182,-3.95154
-3.02447,-4.1222
-3.55154,-3.82953
-4.99905,-4.12422
-4.09266,-4.08793
-4.20124,-3.96351
-3.66627,-3.91505
-4.21079,-3.8815
-4.80305,-4.16695
-4.34796,-4.12276
-3.95806,-3.86349
-3.57179,-4.14978
-4.52991,-4.18201
-3.7305,-3.8539
-4.09365,-4.10353
-4.13432,-4.14173
-4.11248,-4.16721
-3.3233,-4.15713
-3.22843,-4.25943
-2.88867,-4.20226
-3.80615,-4.10151
-4.18234,-4.20872
-3.91092,-4.26412
-3.94648,-3.86054
-3.73599,-3.95769
-4.13037,-4.33248
-4.0098,-4.17431
-3.85555,-4.16248
-3.6055,-3.93893
-4.77559,-4.33316
-3.10722,-3.91551
-3.84945,-3.84175
-5.00665,-4.09687
-3.23708,-4.09473
-4.15505,-3.91843
-3.87529,-4.05794
-4.73365,-4.2254
